City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Saint-Pierre,RE,76.91,broken clouds,-21.3393,55.4781,Lindsey Hôtel
6,Ridgecrest,US,75.06,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
10,Hermanus,ZA,53.8,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
17,Mataura,NZ,65.48,scattered clouds,-46.1927,168.8643,Ellie's Villa
20,Saint-Philippe,RE,76.21,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
24,Lambarene,GA,75.78,light rain,-0.7001,10.2406,Le Refuge
27,East London,ZA,68.07,moderate rain,-33.0153,27.9116,Tu Casa
28,Mar Del Plata,AR,66.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
31,Bluff,NZ,65.8,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
32,Lima,PE,72.39,overcast clouds,-12.0432,-77.0282,Hotel Kamana
33,Port Alfred,ZA,66.74,light rain,-33.5906,26.891,The Halyards Hotel
35,Cape Town,ZA,57.11,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
40,Port Elizabeth,ZA,61.11,light rain,-33.918,25.5701,39 On Nile Guest House
42,Cabo San Lucas,MX,73.71,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
45,Rodeo,US,64.29,clear sky,38.033,-122.2669,Captain's Cottage
46,Busselton,AU,72.86,broken clouds,-33.65,115.3333,Observatory Guest House
50,Katsuura,JP,65.73,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
52,Bredasdorp,ZA,57.85,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
54,Carutapera,BR,75.87,overcast clouds,-1.195,-46.02,Lidera
56,Guerrero Negro,MX,62.15,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
57,Carnarvon,AU,77.56,clear sky,-24.8667,113.6333,Hospitality Carnarvon
58,Wencheng,CN,59.45,scattered clouds,33.0559,113.7978,Ruyi Hostel
61,Yuci,CN,49.75,haze,37.6803,112.7319,Thank Inn Plus Hotel Shanxi Jinzhong Yuci District Yingbin West Street Yinhaixinyue
62,Hilton Head Island,US,46.45,clear sky,32.2163,-80.7526,Disney’s Hilton Head Island Resort
64,Pacifica,US,62.96,broken clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
65,Gamba,GA,76.98,light rain,-2.65,10.0,
