City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dikson,RU,73.5069,80.5464,-5.46,98,100,15.77,overcast clouds
1,Saint-Pierre,RE,-21.3393,55.4781,76.91,87,75,13.8,broken clouds
2,Ushuaia,AR,-54.8,-68.3,38.86,87,100,17.27,moderate rain
3,Garden City,US,42.3256,-83.331,37.98,65,0,8.05,clear sky
4,Faanui,PF,-16.4833,-151.75,81.99,69,100,9.69,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,80.38,71,100,14.12,overcast clouds
6,Ridgecrest,US,35.6225,-117.6709,75.06,16,0,24.16,clear sky
7,Talnakh,RU,69.4865,88.3972,-7.8,94,100,7.76,overcast clouds
8,Vaini,TO,-21.2,-175.2,84.36,79,20,3.44,few clouds
9,Georgetown,MY,5.4112,100.3354,82.33,74,20,3.44,few clouds
10,Hermanus,ZA,-34.4187,19.2345,53.8,67,96,12.57,light rain
11,Skala,PL,50.2305,19.8536,32.09,75,0,6.91,clear sky
12,Albany,US,42.6001,-73.9662,27.91,66,83,5.97,broken clouds
13,High Level,CA,58.5169,-117.136,0.73,90,100,1.19,overcast clouds
14,Atuona,PF,-9.8,-139.0333,78.98,73,100,13.6,overcast clouds
15,Salvador,SV,13.8333,-88.9167,79.05,40,94,2.42,overcast clouds
16,Baruun-Urt,MN,46.6806,113.2792,24.49,69,17,11.52,few clouds
17,Mataura,NZ,-46.1927,168.8643,65.48,49,47,4.41,scattered clouds
18,Gadung,PH,6.8025,124.02,83.71,73,71,1.28,broken clouds
19,Saskylakh,RU,71.9167,114.0833,-12.33,97,94,3.98,overcast clouds
20,Saint-Philippe,RE,-21.3585,55.7679,76.21,87,100,11.86,moderate rain
21,Upernavik,GL,72.7868,-56.1549,-14.4,100,93,17.45,overcast clouds
22,Chokurdakh,RU,70.6333,147.9167,-6.74,87,100,3.94,overcast clouds
23,Mahebourg,MU,-20.4081,57.7,78.26,94,40,5.75,scattered clouds
24,Lambarene,GA,-0.7001,10.2406,75.78,94,94,1.25,light rain
25,Punta Arenas,CL,-53.15,-70.9167,41.11,81,75,29.93,light intensity shower rain
26,Montrose,US,38.4166,-108.2673,36.97,65,100,9.44,light snow
27,East London,ZA,-33.0153,27.9116,68.07,94,100,13.89,moderate rain
28,Mar Del Plata,AR,-38.0023,-57.5575,66.09,87,4,11.99,clear sky
