City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2022-02-23 03:52:41,3.0707,172.7902,82.17,79,100,20.07
1,Lakatoro,VU,2022-02-23 03:52:41,-16.0999,167.4164,84.63,72,17,11.21
2,Albany,US,2022-02-23 03:52:41,42.6001,-73.9662,59.61,95,100,12.86
3,Yar-Sale,RU,2022-02-23 03:52:42,66.8333,70.8333,-13.36,100,63,5.84
4,Cockburn Town,TC,2022-02-23 03:49:41,21.4612,-71.1419,76.71,73,1,20.0
5,Chara,RU,2022-02-23 03:52:42,56.9064,118.2631,10.85,85,20,1.34
6,Tupik,RU,2022-02-23 03:52:43,54.4253,119.9327,16.29,76,57,2.59
7,Ilulissat,GL,2022-02-23 03:50:59,69.2167,-51.1,-13.49,99,100,8.68
8,Pisco,PE,2022-02-23 03:52:43,-13.7,-76.2167,71.65,88,100,3.44
9,Los Llanos De Aridane,ES,2022-02-23 03:52:44,28.6585,-17.9182,55.15,74,0,7.0
10,Usolye-Sibirskoye,RU,2022-02-23 03:52:44,52.7519,103.6453,13.19,89,86,6.15
11,Vostok,RU,2022-02-23 03:52:45,46.4856,135.8833,7.45,85,100,9.51
12,Tuktoyaktuk,CA,2022-02-23 03:52:45,69.4541,-133.0374,3.2,85,100,6.91
13,Atuona,PF,2022-02-23 03:52:45,-9.8,-139.0333,78.62,75,5,18.84
14,Kahului,US,2022-02-23 03:52:46,20.8947,-156.47,80.62,71,20,20.71
15,Bethel,US,2022-02-23 03:52:46,41.3712,-73.414,58.32,90,100,11.5
16,New Norfolk,AU,2022-02-23 03:52:47,-42.7826,147.0587,84.88,38,30,1.99
17,Laguna,US,2022-02-23 03:52:47,38.421,-121.4238,44.73,75,100,6.91
18,Vaini,TO,2022-02-23 03:52:48,-21.2,-175.2,82.56,94,75,8.05
19,Carnarvon,AU,2022-02-23 03:52:48,-24.8667,113.6333,86.07,58,0,20.71
20,Guarapari,BR,2022-02-23 03:52:48,-20.6667,-40.4975,78.69,92,100,8.03
21,Chuy,UY,2022-02-23 03:52:49,-33.6971,-53.4616,62.08,92,0,6.4
22,Mahebourg,MU,2022-02-23 03:52:49,-20.4081,57.7,82.26,94,40,13.8
23,Cape Town,ZA,2022-02-23 03:52:50,-33.9258,18.4232,64.11,85,0,8.05
24,Avarua,CK,2022-02-23 03:50:13,-21.2078,-159.775,82.45,74,20,12.66
25,Richards Bay,ZA,2022-02-23 03:52:50,-28.783,32.0377,71.55,93,4,3.06
26,Bluff,NZ,2022-02-23 03:52:51,-46.6,168.3333,57.11,63,70,17.4
27,Tasiilaq,GL,2022-02-23 03:52:51,65.6145,-37.6368,23.56,62,100,47.8
28,Ostrovnoy,RU,2022-02-23 03:52:52,68.0531,39.5131,7.63,94,100,7.23
29,Port Elizabeth,ZA,2022-02-23 03:52:52,-33.918,25.5701,61.09,94,75,2.3
30,Zambezi,ZM,2022-02-23 03:52:52,-13.5432,23.1047,63.23,98,100,3.62
31,Yulara,AU,2022-02-23 03:52:53,-25.2406,130.9889,91.24,19,0,5.75
32,Bambous Virieux,MU,2022-02-23 03:52:53,-20.3428,57.7575,82.22,94,40,13.8
33,Sechura,PE,2022-02-23 03:52:54,-5.5569,-80.8222,75.27,63,85,9.42
34,Hithadhoo,MV,2022-02-23 03:52:54,-0.6,73.0833,81.81,67,2,5.39
35,Ossora,RU,2022-02-23 03:52:55,59.2353,163.0719,3.7,95,100,11.7
36,Liku,ID,2022-02-23 03:52:55,-0.7275,119.8922,78.49,80,100,0.89
37,Nikolskoye,RU,2022-02-23 03:52:56,59.7035,30.7861,22.89,96,88,5.84
38,Mataura,NZ,2022-02-23 03:52:56,-46.1927,168.8643,67.33,42,48,7.02
39,Biltine,TD,2022-02-23 03:52:56,14.5333,20.9167,62.85,11,20,4.32
40,Castro,BR,2022-02-23 03:52:57,-24.7911,-50.0119,64.47,93,51,2.73
41,Teeli,RU,2022-02-23 03:52:57,51.0333,90.2333,-1.68,93,72,2.98
42,Qaanaaq,GL,2022-02-23 03:52:58,77.484,-69.3632,-15.66,42,39,1.19
43,Ushuaia,AR,2022-02-23 03:52:58,-54.8,-68.3,46.06,71,20,11.5
44,Busselton,AU,2022-02-23 03:52:58,-33.65,115.3333,78.08,33,100,12.86
45,Roald,NO,2022-02-23 03:52:59,62.5833,6.1333,39.34,81,75,18.41
46,Vila Franca Do Campo,PT,2022-02-23 03:52:59,37.7167,-25.4333,59.2,81,98,8.75
47,Yellowknife,CA,2022-02-23 03:54:00,62.456,-114.3525,-11.58,86,40,12.66
48,Punta Arenas,CL,2022-02-23 03:54:00,-53.15,-70.9167,51.91,82,75,6.91
49,East London,ZA,2022-02-23 03:54:01,-33.0153,27.9116,68.94,94,0,4.61
50,Wajima,JP,2022-02-23 03:54:01,37.4,136.9,30.88,93,75,6.91
51,Kapaa,US,2022-02-23 03:54:01,22.0752,-159.319,78.78,71,10,1.99
52,Port Hedland,AU,2022-02-23 03:54:02,-20.3167,118.5667,95.05,63,97,16.11
53,Boende,CD,2022-02-23 03:54:02,-0.2167,20.8667,71.56,74,94,2.86
54,Oktyabrskoye,RU,2022-02-23 03:54:03,43.0645,44.7417,23.14,93,2,6.71
55,Sola,VU,2022-02-23 03:54:03,-13.8833,167.55,84.87,79,75,0.0
56,Flinders,AU,2022-02-23 03:54:03,-34.5833,150.8552,75.79,94,97,5.35
57,Belz,FR,2022-02-23 03:54:04,47.6751,-3.168,42.89,91,16,4.72
58,Rikitea,PF,2022-02-23 03:54:04,-23.1203,-134.9692,79.54,72,32,13.29
59,Sulina,RO,2022-02-23 03:54:05,45.1559,29.6536,42.84,66,100,12.75
60,Lata,PT,2022-02-23 03:54:05,40.1629,-8.3327,49.06,52,97,4.25
61,Ahipara,NZ,2022-02-23 03:54:05,-35.1667,173.1667,73.35,71,72,7.92
62,Husavik,IS,2022-02-23 03:54:06,66.0449,-17.3389,19.31,80,100,8.84
63,Chokurdakh,RU,2022-02-23 03:54:06,70.6333,147.9167,-18.54,90,73,9.42
64,Ribeira Grande,PT,2022-02-23 03:54:07,38.5167,-28.7,57.43,77,99,19.71
65,Port Alfred,ZA,2022-02-23 03:54:07,-33.5906,26.891,69.21,92,0,10.89
66,Jamestown,US,2022-02-23 03:51:15,42.097,-79.2353,56.3,69,100,16.11
67,Abingdon,GB,2022-02-23 03:54:08,51.6711,-1.2828,41.79,96,0,7.58
68,Puerto Ayora,EC,2022-02-23 03:54:08,-0.7393,-90.3518,75.18,84,90,6.93
69,Rovaniemi,FI,2022-02-23 03:54:08,66.5,25.7167,-8.19,77,40,3.44
70,Linqiong,CN,2022-02-23 03:54:09,30.4159,103.4609,46.22,69,90,3.76
71,Vestmanna,FO,2022-02-23 03:54:09,62.1564,-7.1664,36.52,60,75,10.36
72,Ancud,CL,2022-02-23 03:49:27,-41.8697,-73.8203,54.93,85,25,3.24
73,Camamu,BR,2022-02-23 03:54:10,-13.9447,-39.1039,72.7,94,28,2.57
74,Saldanha,ZA,2022-02-23 03:54:10,-33.0117,17.9442,59.05,91,4,12.03
75,Alamosa,US,2022-02-23 03:54:11,37.4695,-105.87,29.71,69,19,20.58
76,Pringsewu,ID,2022-02-23 03:54:11,-5.3582,104.9744,85.6,67,97,2.93
77,Alyangula,AU,2022-02-23 03:54:11,-13.8483,136.4192,89.47,67,40,10.36
78,Vila Velha,BR,2022-02-23 03:54:12,-20.3297,-40.2925,78.75,87,20,5.75
79,Murgab,TM,2022-02-23 03:54:12,37.4966,61.9714,52.81,39,75,3.22
80,Pauini,BR,2022-02-23 03:54:13,-7.7136,-66.9764,71.4,98,92,1.19
81,Santa Vitoria Do Palmar,BR,2022-02-23 03:50:13,-33.5189,-53.3681,62.01,93,0,5.99
82,Rock Sound,BS,2022-02-23 03:54:13,24.9,-76.2,74.64,71,5,18.86
83,Iwaki,JP,2022-02-23 03:54:14,37.05,140.8833,39.02,55,85,3.0
84,Provideniya,RU,2022-02-23 03:54:14,64.3833,-173.3,18.16,95,100,10.38
85,Barrow,US,2022-02-23 03:54:15,71.2906,-156.7887,24.82,86,100,26.46
86,Tessalit,ML,2022-02-23 03:54:19,20.1986,1.0114,72.37,10,27,6.51
87,Iqaluit,CA,2022-02-23 03:54:19,63.7506,-68.5145,-25.31,67,75,3.44
88,Punta Alta,AR,2022-02-23 03:54:20,-38.8759,-62.0736,64.02,85,18,6.82
89,Bocas Del Toro,PA,2022-02-23 03:54:20,9.3333,-82.25,75.92,80,79,5.99
90,Bredasdorp,ZA,2022-02-23 03:54:21,-34.5322,20.0403,60.28,77,0,1.45
91,Esperance,AU,2022-02-23 03:54:21,-33.8667,121.9,76.84,70,43,15.95
92,Cap-Aux-Meules,CA,2022-02-23 03:54:21,47.3821,-61.8597,24.85,86,100,25.32
93,Baturaja,ID,2022-02-23 03:54:22,-4.1333,104.1667,86.47,66,66,4.27
94,Thompson,CA,2022-02-23 03:54:22,55.7435,-97.8558,-16.44,69,0,8.05
95,Dengfeng,CN,2022-02-23 03:54:23,34.4553,113.0281,41.94,32,33,6.33
96,Upernavik,GL,2022-02-23 03:55:23,72.7868,-56.1549,-11.09,95,100,8.03
97,Port Augusta,AU,2022-02-23 03:55:24,-32.5,137.7667,96.71,21,1,11.77
98,Hermanus,ZA,2022-02-23 03:55:24,-34.4187,19.2345,61.9,73,0,4.54
99,Ritchie,ZA,2022-02-23 03:55:24,-29.038,24.6028,58.21,27,0,4.7
100,Okhotsk,RU,2022-02-23 03:55:25,59.3833,143.3,3.63,71,0,16.17
101,Chachapoyas,PE,2022-02-23 03:55:25,-6.2317,-77.869,55.92,97,100,2.57
102,Dikson,RU,2022-02-23 03:55:26,73.5069,80.5464,-18.15,100,82,3.96
103,Tonantins,BR,2022-02-23 03:55:26,-2.8731,-67.8022,72.73,100,100,0.65
104,Mar Del Plata,AR,2022-02-23 03:51:57,-38.0023,-57.5575,68.02,90,75,11.99
105,Tiksi,RU,2022-02-23 03:55:27,71.6872,128.8694,6.35,81,100,13.78
106,Aloleng,PH,2022-02-23 03:55:27,16.1307,119.7824,85.48,57,100,0.27
107,Caravelas,BR,2022-02-23 03:55:27,-17.7125,-39.2481,75.25,87,0,3.62
108,Hilo,US,2022-02-23 03:55:28,19.7297,-155.09,73.26,87,98,1.01
109,Norman Wells,CA,2022-02-23 03:55:28,65.282,-126.8329,8.64,72,100,4.61
110,Gogrial,SS,2022-02-23 03:55:29,8.5332,28.1004,71.58,17,44,5.14
111,Katangli,RU,2022-02-23 03:55:29,51.7102,143.2326,13.91,72,10,16.06
112,Nanortalik,GL,2022-02-23 03:55:29,60.1432,-45.2371,13.05,69,100,51.18
113,Puerto Madero,MX,2022-02-23 03:55:30,14.7208,-92.4215,78.4,64,6,6.64
114,Mount Gambier,AU,2022-02-23 03:55:30,-37.8333,140.7667,85.91,20,0,8.05
115,Aqtobe,KZ,2022-02-23 03:55:31,50.2797,57.2072,10.49,85,100,4.47
116,Hasaki,JP,2022-02-23 03:55:31,35.7333,140.8333,50.29,27,76,2.01
117,Suntar,RU,2022-02-23 03:55:31,62.1444,117.6319,22.62,89,100,8.43
118,Puerto Madryn,AR,2022-02-23 03:55:22,-42.7692,-65.0385,60.4,70,5,15.21
119,Sakakah,SA,2022-02-23 03:55:32,29.9697,40.2064,54.97,34,48,7.23
120,Cabo San Lucas,MX,2022-02-23 03:51:55,22.8909,-109.9124,69.51,73,29,7.34
121,Korla,CN,2022-02-23 03:55:33,41.7597,86.1469,33.31,38,5,3.02
122,Kavieng,PG,2022-02-23 03:55:33,-2.5744,150.7967,82.99,68,87,4.76
123,Arraial Do Cabo,BR,2022-02-23 03:55:34,-22.9661,-42.0278,75.92,91,67,16.15
124,Alugan,PH,2022-02-23 03:55:34,12.2188,125.4808,78.93,86,100,14.18
125,Hranice,CZ,2022-02-23 03:55:34,49.548,17.7347,41.95,98,100,8.08
126,Leningradskiy,RU,2022-02-23 03:55:35,69.3833,178.4167,-26.21,97,96,7.05
127,Aswan,EG,2022-02-23 03:55:35,24.0934,32.907,59.9,29,0,4.97
128,Sao Filipe,CV,2022-02-23 03:55:36,14.8961,-24.4956,69.76,74,21,9.6
129,Portland,US,2022-02-23 03:55:03,45.5234,-122.6762,32.23,48,1,8.99
130,Maniwaki,CA,2022-02-23 03:55:36,46.3834,-75.966,32.54,100,100,0.0
131,Nurota,UZ,2022-02-23 03:55:37,40.5614,65.6886,39.29,55,99,1.92
132,Zhigalovo,RU,2022-02-23 03:55:37,54.8097,105.1578,17.24,85,69,1.03
133,Carutapera,BR,2022-02-23 03:55:37,-1.195,-46.02,77.18,91,78,7.81
134,Yaan,NG,2022-02-23 03:55:38,7.3833,8.5667,74.97,46,12,5.12
135,Grindavik,IS,2022-02-23 03:55:38,63.8424,-22.4338,27.07,100,100,11.5
136,Jurm,AF,2022-02-23 03:55:39,36.8648,70.8342,37.65,83,100,1.72
137,Thinadhoo,MV,2022-02-23 03:55:00,0.5333,72.9333,82.0,65,0,6.89
138,Lompoc,US,2022-02-23 03:51:22,34.6391,-120.4579,48.51,79,100,12.66
139,Soeng Sang,TH,2022-02-23 03:55:39,14.4264,102.4606,75.51,56,45,10.4
140,Ormara,PK,2022-02-23 03:55:40,25.2088,64.6357,74.08,36,0,8.32
141,Saskylakh,RU,2022-02-23 03:55:40,71.9167,114.0833,2.89,94,100,5.21
142,Plettenberg Bay,ZA,2022-02-23 03:55:41,-34.0527,23.3716,64.09,75,0,2.53
143,Katsuura,JP,2022-02-23 03:54:50,35.1333,140.3,46.44,38,65,3.22
144,Faanui,PF,2022-02-23 03:56:41,-16.4833,-151.75,81.39,73,81,13.29
145,Kloulklubed,PW,2022-02-23 03:56:42,7.0419,134.2556,82.99,76,100,17.56
146,Camopi,GF,2022-02-23 03:56:42,3.1655,-52.3158,72.41,100,100,1.3
147,Klaksvik,FO,2022-02-23 03:56:43,62.2266,-6.589,38.32,57,100,27.45
148,Geraldton,AU,2022-02-23 03:56:43,-28.7667,114.6,84.61,39,0,19.57
149,Khatanga,RU,2022-02-23 03:56:44,71.9667,102.5,10.87,94,100,13.73
150,Saint-Joseph,RE,2022-02-23 03:56:44,-21.3667,55.6167,80.98,81,100,11.25
151,Comodoro Rivadavia,AR,2022-02-23 03:55:22,-45.8667,-67.5,51.66,76,0,6.91
152,Cidreira,BR,2022-02-23 03:56:45,-30.1811,-50.2056,71.94,84,2,1.16
153,Bonthe,SL,2022-02-23 03:56:45,7.5264,-12.505,76.91,87,1,3.09
154,Jiwani,PK,2022-02-23 03:56:46,25.05,61.7417,72.88,60,0,0.51
155,Amapa,BR,2022-02-23 03:56:46,1.0,-52.0,71.49,99,95,1.5
156,Lavras,BR,2022-02-23 03:56:47,-21.2453,-44.9997,64.51,95,14,2.8
157,Novoilinsk,RU,2022-02-23 03:56:47,51.6829,108.7143,17.06,77,58,2.37
158,Kandi,BJ,2022-02-23 03:56:48,11.1342,2.9386,70.86,15,76,5.61
159,Zalantun,CN,2022-02-23 03:56:48,48.0,122.7167,17.73,62,25,9.53
160,Kavaratti,IN,2022-02-23 03:56:48,10.5669,72.642,80.44,65,44,3.18
161,Torbay,CA,2022-02-23 03:56:49,47.6666,-52.7314,23.58,73,75,6.91
162,Victoria,HK,2022-02-23 03:56:49,22.2855,114.1577,52.97,76,100,8.99
163,Praia Da Vitoria,PT,2022-02-23 03:56:50,38.7333,-27.0667,56.75,94,75,20.4
164,Kaitangata,NZ,2022-02-23 03:56:50,-46.2817,169.8464,58.33,59,32,10.85
165,Tarakan,ID,2022-02-23 03:56:51,3.3,117.6333,80.08,75,100,6.15
166,Khor,RU,2022-02-23 03:56:51,47.8861,134.9464,8.94,84,89,15.17
167,Kikwit,CD,2022-02-23 03:56:52,-5.041,18.8162,69.87,97,99,1.39
168,Mackay,AU,2022-02-23 03:52:32,-21.15,149.2,92.68,79,99,17.27
169,Nabire,ID,2022-02-23 03:56:52,-3.3667,135.4833,83.64,69,99,6.76
170,Timmins,CA,2022-02-23 03:53:06,48.4669,-81.3331,-0.58,71,100,12.66
171,Bathsheba,BB,2022-02-23 03:56:54,13.2167,-59.5167,77.61,78,20,14.97
172,Beruwala,LK,2022-02-23 03:56:54,6.4788,79.9828,81.32,74,4,2.17
173,Bullhead City,US,2022-02-23 03:56:55,35.1478,-114.5683,61.09,32,100,19.57
174,Asau,RO,2022-02-23 03:56:55,46.4333,26.4,40.75,83,90,3.15
175,Srednekolymsk,RU,2022-02-23 03:56:55,67.45,153.6833,-21.87,90,11,3.76
176,Kuliyapitiya,LK,2022-02-23 03:56:56,7.4688,80.0401,78.48,54,8,5.3
177,Tieli,CN,2022-02-23 03:56:56,46.95,128.05,7.79,81,84,10.11
178,Arklow,IE,2022-02-23 03:56:57,52.7931,-6.1414,47.08,62,91,18.79
179,Codrington,AU,2022-02-23 03:56:57,-38.2667,141.9667,72.16,52,0,14.18
180,Xai-Xai,MZ,2022-02-23 03:56:57,-25.0519,33.6442,77.58,78,100,12.21
181,Jinchang,CN,2022-02-23 03:56:58,38.4953,102.1739,26.24,47,0,3.83
182,Amga,RU,2022-02-23 03:56:58,60.8953,131.9608,3.09,88,97,1.25
183,Borgarnes,IS,2022-02-23 03:56:59,64.5383,-21.9206,29.64,76,100,5.39
184,Severo-Kurilsk,RU,2022-02-23 03:53:58,50.6789,156.125,27.61,79,99,21.09
185,Shahreza,IR,2022-02-23 03:57:59,32.0339,51.8794,44.17,42,5,3.8
186,Antsohihy,MG,2022-02-23 03:58:00,-14.8796,47.9875,75.27,95,100,5.41
187,Broome,US,2022-02-23 03:58:00,42.2506,-75.833,58.19,76,100,8.99
188,Talakan,RU,2022-02-23 03:58:01,50.3167,130.3667,11.79,85,96,5.03
189,Olenino,RU,2022-02-23 03:58:01,56.2092,33.4889,24.62,94,100,10.11
190,Adrar,MR,2022-02-23 03:58:02,20.5022,-10.0711,67.59,35,20,12.64
191,Salinas,US,2022-02-23 03:58:02,36.6777,-121.6555,45.82,74,43,5.88
192,Mocuba,MZ,2022-02-23 03:58:03,-16.8392,36.9856,70.52,99,71,4.25
193,Ketchikan,US,2022-02-23 03:58:03,55.3422,-131.6461,29.08,55,100,2.57
194,Polunochnoye,RU,2022-02-23 03:58:04,60.8697,60.4153,19.17,97,100,2.53
195,Karagaylinskiy,RU,2022-02-23 03:58:04,54.172,86.5521,24.35,90,100,5.93
196,Mindelo,CV,2022-02-23 03:58:04,16.8901,-24.9804,67.55,64,20,19.57
197,Sangar,RU,2022-02-23 03:58:05,63.9242,127.4739,-8.97,93,99,7.45
198,Souillac,MU,2022-02-23 03:58:05,-20.5167,57.5167,83.35,94,40,13.8
199,Haines Junction,CA,2022-02-23 03:58:06,60.7522,-137.5108,28.35,64,100,1.14
200,Sorland,NO,2022-02-23 03:58:06,67.667,12.6934,29.19,59,100,21.12
201,Nioro,GM,2022-02-23 03:58:06,13.35,-15.75,70.63,48,1,6.06
202,North Battleford,CA,2022-02-23 03:58:07,52.7834,-108.2847,-14.71,76,0,4.61
